Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
"Fossil Group, Inc.",FOSL,Common,0,-1885095,0,-248795000,0.00,0.00,Hist,06/30/2012
EXPRESS SCRIPTS INC,ESRX,Common,0,-7574345,0,-410378000,0.00,0.00,Hist,06/30/2012
EL PASO CORP/DE,EP,Common,0,-31635809,0,-934838000,0.00,0.00,Hist,06/30/2012
LAS VEGAS SANDS CORP,LVS,Common,0,-8083114,0,-465345000,0.00,0.00,Hist,06/30/2012
EL PASO CORP/DE,EP,Common,31635809,31635809,934838000,934838000,5.70,,Hist,03/31/2012
GOOGLE INC.,GOOG,CL A,1307312,1307312,838301000,838301000,5.11,,Hist,03/31/2012
Booking Holdings Inc.,PCLN,Common,1081089,1081089,775681000,775681000,4.73,,Hist,03/31/2012
APPLE INC,AAPL,Common,1258944,1258944,754800000,754800000,4.60,,Hist,03/31/2012
DOLLAR GENERAL CORP,DG,COM,13446688,13446688,621237000,621237000,3.79,,Hist,03/31/2012
SPDR GOLD TRUST,GLD,GOLD SHS,3750348,3750348,608081000,608081000,3.71,,Hist,03/31/2012
VISA INC.,V,CL A,4536386,4536386,535294000,535294000,3.27,,Hist,03/31/2012
RALPH LAUREN CORP,RL,COM,3024031,3024031,527179000,527179000,3.22,,Hist,03/31/2012
QUALCOMM INC/DE,QCOM,Common,7678339,7678339,522588000,522588000,3.19,,Hist,03/31/2012
"NetEase, Inc.",NTES,SPONSORED ADR,8956696,8956696,520384000,520384000,3.17,,Hist,03/31/2012
MONSANTO CO /NEW/,MON,Common,6507957,6507957,519075000,519075000,3.17,1.22,Hist,03/31/2012
EQUINIX INC,EQIX,Common,3164127,3164127,498192000,498192000,3.04,,Hist,03/31/2012
TERADATA CORP /DE/,TDC,Common,7228162,7228162,492599000,492599000,3.00,,Hist,03/31/2012
LAS VEGAS SANDS CORP,LVS,Common,8083114,8083114,465345000,465345000,2.84,1.10,Hist,03/31/2012
COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Common,5810687,5810687,447132000,447132000,2.73,,Hist,03/31/2012
CROWN CASTLE INTERNATIONAL CORP,CCI,Common,8237127,8237127,439368000,439368000,2.68,,Hist,03/31/2012
EXPRESS SCRIPTS INC,ESRX,Common,7574345,7574345,410378000,410378000,2.50,,Hist,03/31/2012
OCEANEERING INTERNATIONAL INC,OII,Common,7497700,7497700,404051000,404051000,2.46,,Hist,03/31/2012
AUTOZONE INC,AZO,Common,1064500,1064500,395781000,395781000,2.41,2.73,Hist,03/31/2012
TransDigm Group INC,TDG,Common,3331859,3331859,385696000,385696000,2.35,,Hist,03/31/2012
WYNDHAM WORLDWIDE CORP,WYND,Common,6768567,6768567,314806000,314806000,1.92,,Hist,03/31/2012
GAP INC,GPS,Common,11210965,11210965,293055000,293055000,1.79,2.30,Hist,03/31/2012
lululemon athletica inc.,LULU,Common,3808895,3808895,284639000,284639000,1.74,,Hist,03/31/2012
