Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
CPRT,200609,0,0,-1250520.0,-30713000.0,28.19,,28.07,-35252158.800000004
CRM,201012,0,0,-1885946.0,-210848000.0,132.0,,139.22,-248944872.0
CRM,201803,0,0,-4864570.0,-497305000.0,116.3,,116.25,-565749491.0
CSCO,200706,0,0,-16280627.0,-415644000.0,27.85,,26.92,-453415461.95000005
CSGP,200606,0,0,-500548.0,-25973000.0,59.83,,53.35,-29947786.84
CSX,201509,0,0,-2088300.0,-68183000.0,26.9,,27.38,-56175270.0
CSX,201709,0,0,-10314868.0,-562779000.0,54.26,,50.2,-559684737.68
CSX,201906,0,0,-7998686.0,-598462000.0,77.37,,74.47,-618858335.82
CTRP,200709,0,0,-1606701.0,-126335000.0,51.8,,42.49,-83227111.8
CTRP,200906,0,0,-3547917.0,-97213000.0,46.3,,40.95,-164268557.1
CTRP,201112,0,0,-8596005.0,-276405000.0,23.4,,27.2,-201146517.0
CTRP,201206,0,0,-5240339.0,-113401000.0,16.76,,18.4,-87828081.64000002
CTRP,201409,0,0,-1158913.0,-74217000.0,56.76,,64.17,-65779901.879999995
CTSH,200609,0,0,-619846.0,-41759000.0,74.01,A,69.91,-45874802.46
CTSH,201112,0,0,-10697067.0,-670706000.0,64.31,A,67.35,-687928378.77
CTSH,201506,0,0,-1093374.0,-68216000.0,61.09,A,64.72,-66794217.660000004
CTX,200606,0,0,-3593600.0,-222767000.0,50.3,,47.69,-180758080.0
CTXS,201012,0,0,-4127704.0,-281674000.0,68.41,,66.43,-282376230.64
CTXS,201106,0,0,-2314910.0,-170053000.0,80.0,,87.62,-185192800.0
CVC,201106,0,0,-493000.0,-17063000.0,36.21,A,35.52,-17851530.0
CVLT,201503,0,0,-1321288.0,-68297377000.0,43.7,,48.27,-57740285.6
DECK,200906,0,0,-1093072.0,-57977000.0,70.27,,57.96,-76810169.44
DELL,200509,0,0,-3468877.0,-136882000.0,34.2,,35.6,-118635593.4
DEO,201603,0,0,-1281.0,-140000.0,107.87,,102.6,-138181.47
DEO,201606,0,0,-2850000.0,-307430000.0,112.88,,109.13,-321708000.0
DG,201112,0,0,-15811147.0,-597029000.0,41.14,,40.57,-650470587.58
DG,201503,0,0,-12918112.0,-913310518.0,75.38,,72.62,-973767282.56
DHI,201912,0,0,-3333812.0,-175725000.0,52.75,,55.35,-175858583.0
DIS,201306,0,0,-3950480.0,-224387000.0,63.15,,63.08,-249472812.0
DKS,200812,0,0,-2937309.0,-57513000.0,14.11,,12.61,-41445429.989999995
DKS,201103,0,0,-4765663.0,-178712000.0,39.98,,37.14,-190531206.73999998
DLB,200906,0,0,-2101333.0,-71676000.0,37.28,A,36.06,-78337694.24000001
DLTR,201112,0,0,-3566451.0,-267983000.0,83.11,,81.49,-296407742.61
DLTR,201403,0,0,-8128196.0,-458593000.0,52.18,,54.77,-424129267.28
DLTR,201706,0,0,-6544364.0,-513471000.0,69.92,,77.7,-457581930.88
DLTR,201809,0,0,-7233575.0,-614854000.0,81.55,,80.51,-589898041.25
DNA,200712,0,0,-3514836.0,-274228000.0,67.07,,76.25,-235740050.51999998
DNKN,201212,0,0,-7221207.0,-210823000.0,33.18,,31.82,-239599648.26
DSW,201406,0,0,-6953238.0,-249343000.0,27.94,A,25.05,-194273469.72
