Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
MON,200805,2441900,272272000,0,0,127.4,,114.02,311098060.0
MON,200807,1811400,229033000,0,0,119.11,,126.44,215755854.0
MON,200808,1811400,229033000,0,0,114.25,,119.11,206952450.0
MON,200901,4230159,297592000,0,0,76.06,,70.35,321745893.54
MON,200902,4230159,297592000,0,0,76.27,,76.06,322634226.93
MON,200904,4356164,361997000,0,0,84.89,,83.1,369794761.96
MON,200905,4356164,361997000,0,0,82.15,,84.89,357858872.6
MON,200907,7827264,581879000,0,0,84.0,,74.34,657490176.0
MON,200908,7827264,581879000,0,0,83.88,,84.0,656550904.3199999
MON,200910,8393377,649647000,0,0,67.18,,77.4,563867066.86
MON,200911,8393377,649647000,0,0,80.75,,67.18,677765192.75
MON,201001,8185449,669160000,0,0,75.88,,81.75,621111870.12
MON,201002,8185449,669160000,0,0,70.65,,75.88,578301971.85
MON,201004,2979981,212830000,0,0,63.06,,71.42,187917601.86
MON,201005,2979981,212830000,0,0,50.87,,63.06,151591633.47
MON,201104,2323792,167917000,0,0,68.04,,72.26,158110807.68
MON,201105,2323792,167917000,0,0,71.04,,68.04,165082183.68
MON,201107,5082322,368672000,0,0,73.48,,72.54,373449020.56
MON,201108,5082322,368672000,0,0,68.93,,73.48,350324455.46000004
MON,201110,5219837,313399000,0,0,72.75,,60.04,379743141.75
MON,201111,5219837,313399000,0,0,73.45,,72.75,383397027.65000004
MON,201204,6507957,519075000,0,0,76.18,,79.76,495776164.26000005
MON,201205,6507957,519075000,0,0,77.2,,76.18,502414280.40000004
MON,201207,8058039,667044000,0,0,85.62,,82.78,689929299.1800001
MON,201208,8058039,667044000,0,0,87.11,,85.62,701935777.29
MON,201210,6328874,576054000,0,0,86.07,,91.02,544726185.18
MON,201211,6328874,576054000,0,0,91.59,,86.07,579661569.66
MON,201301,5358310,507164000,0,0,101.35,,94.65,543064718.5
MON,201302,5358310,507164000,0,0,101.03,,101.35,541350059.3
MON,201304,6662550,703765000,0,0,106.82,,105.63,711693591.0
MON,201305,6662550,703765000,0,0,100.64,,106.82,670519032.0
MON,201307,6207263,613278000,0,0,98.78,,98.8,613153439.14
MON,201308,6207263,613278000,0,0,97.89,,98.78,607628975.07
MON,201310,9354853,976366000,0,0,104.88,,104.37,981136982.64
