gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup,gind,gsector,gsubind
36052,20171231,2017,INDL,C,D,STD,BDTX,USD,A,3520,352010,35,35201010
36054,20171231,2017,INDL,C,D,STD,DNK,USD,A,6010,601020,60,60102020
36061,20171231,2017,INDL,C,D,STD,ATC,USD,A,1510,151010,15,15101050
36083,20171231,2017,INDL,C,D,STD,RVMD,USD,A,3520,352010,35,35201010
36089,20171231,2017,INDL,C,D,STD,AUDD,USD,A,4510,451030,45,45103010
36090,20171231,2017,INDL,C,D,STD,3892B,USD,A,3020,302010,30,30201010
36092,20180430,2017,INDL,C,D,STD,7634B,USD,A,6010,601020,60,60102040
36093,20191231,2019,INDL,C,D,STD,GHIV,USD,A,,,,
36094,20191231,2019,INDL,C,D,STD,CCAC,USD,A,,,,
36095,20180331,2017,INDL,C,D,STD,GOXS,USD,A,2020,202020,20,20202020
36114,20191231,2019,INDL,C,D,STD,CCXX,USD,A,,,,
36133,20161231,2016,INDL,C,D,STD,CCAP,USD,A,4020,402030,40,40203010
36139,20191231,2019,INDL,C,D,STD,DMYT,USD,A,,,,
36140,20181231,2018,INDL,C,D,STD,PASG,USD,A,3520,352010,35,35201010
36153,20171231,2017,INDL,C,D,STD,POWW,USD,A,,,,
36157,20190630,2019,INDL,C,D,STD,ESSC,USD,A,,,,
36167,20191231,2019,INDL,C,D,STD,VEGN,USD,A,,,,
36190,20151231,2015,INDL,C,D,STD,OTIS,USD,A,2010,201060,20,20106020
36191,20151231,2015,INDL,C,D,STD,CARR,USD,A,2010,201020,20,20102010
36193,20180930,2018,INDL,C,D,STD,AZEK,USD,A,2010,201020,20,20102010
36202,20180531,2017,INDL,C,D,STD,CLHN,USD,A,2520,252030,25,25203020
36203,20181231,2018,INDL,C,D,STD,VNT,USD,A,4520,452030,45,45203010
36204,20181231,2018,INDL,C,D,STD,IMRA,USD,A,3520,352020,35,35202010
36205,20190630,2019,INDL,C,D,STD,LSAC,USD,A,,,,
36234,20180630,2018,INDL,C,D,STD,SLQT,USD,A,4030,403010,40,40301010
36235,20180630,2018,INDL,C,D,STD,MITQ,USD,A,5020,502020,50,50202010
36236,20181231,2018,INDL,C,D,STD,NARI,USD,A,3510,351010,35,35101010
36237,20191231,2019,INDL,C,D,STD,DFPH,USD,A,,,,
36260,20181231,2018,INDL,C,D,STD,LUNG,USD,A,3510,351010,35,35101020
36261,20191231,2019,INDL,C,D,STD,IPOB.U,USD,A,,,,
36262,20191231,2019,INDL,C,D,STD,IPOC.U,USD,A,,,,
36263,20180228,2017,INDL,C,D,STD,ACCD,USD,A,,,,
36264,20181231,2018,INDL,C,D,STD,ORIC,USD,A,3520,352010,35,35201010
36273,20181231,2018,INDL,C,D,STD,PCOR,USD,A,4510,451030,45,45103010
36274,20191231,2019,INDL,C,D,STD,CGROU,USD,A,,,,
36275,20191231,2019,INDL,C,D,STD,LOAK,USD,A,,,,
36276,20171231,2017,INDL,C,D,STD,NLSP,USD,A,,,,
36278,20191231,2019,INDL,C,D,STD,ROCHU,USD,A,,,,
